tmdb_id,show_title,season_number,season_name,air_date,episode_count,overview,poster_url,season_id
103368,Illegal,2,Season 2,2021-11-25,8,,https://image.tmdb.org/t/p/w500/i1HN2V2OyJum8MFFnPXLOI0P6YX.jpg,219990
103368,Illegal,3,Season 3,2024-05-27,8,,https://image.tmdb.org/t/p/w500/7QZn55m9De63S5TBATBWWvw5ddz.jpg,394390
220309,Tere Ishq Mein Ghayal,1,Season 1,2023-02-12,89,"Isha is in love with Armaan but they are drawn apart when Veer, his brother enters the picture. Explore a world of love and secrets as the young girl deals with the siblings, who belong to a supernatural species.",https://image.tmdb.org/t/p/w500/2OLPAVBpRZKjD5ir8iwEX1LCWMF.jpg,328729
129155,Dunali,1,Season 1,2021-07-13,9,"Troubled by an atypical medical condition that has a direct bearing on a young boy's sexual life, the world around him goes upside down wherein everyone tries to take advantage of his abilities. Some remain smitten while some are shocked when they find the double-trouble that he is blessed with.",https://image.tmdb.org/t/p/w500/3bRLwRsEYizsMX8NGEAJLSpe79z.jpg,202326
129155,Dunali,2,Season 2,2022-06-10,10,"Sameer finds a girl with the rarest of the rare gift, just like him which doubles the fun and excitement in his life and everyone around him. Sameer tries to explore his sexuallity amidst this adventure which seems as a blessing to many, but a curse to him.",https://image.tmdb.org/t/p/w500/1wrOvnf36HWSDzKl9pmgmW54D9F.jpg,297596
102790,Riti Riwaj,1,Season 1,2020-03-17,8,,https://image.tmdb.org/t/p/w500/dPv80vU0fY1wlhekDaYKKzuDxSc.jpg,149481
222667,"Hunter - Tootega Nahi, Todega",1,Season 1,2023-03-22,8,,https://image.tmdb.org/t/p/w500/s0IWOfHHjBPCJNsQQ7rjFKhcfUz.jpg,333369
222667,"Hunter - Tootega Nahi, Todega",2,Season 2,2025-07-24,6,"In Hunter Season 2, the stakes skyrocket as Vikram (Suniel Shetty) receives a chilling call from his daughter, presumed dead, only to discover she's with the enigmatic Salesman (Jackie Shroff). Will Vikram emerge as the ultimate hunter, or will he become the hunted?",,457873
218640,Ayali,1,Miniseries,2023-01-26,8,"Tamil Selvi, a teenager, struggles with her dreams of becoming a doctor in the oppressive village of Veerappannai. Will she be able to break the 500-year-old custom that bars women's education?",https://image.tmdb.org/t/p/w500/fzkLkmDWTM9sTRwaeXWe6smIVaf.jpg,325089
195348,Dharm Yoddha Garud,1,Season 1,2022-03-14,234,,https://image.tmdb.org/t/p/w500/sqHnX0ky2fmparPxFTyEL0TH264.jpg,283700
154823,Unstoppable with NBK,1,Season 1,2021-11-04,10,,https://image.tmdb.org/t/p/w500/zHJw4PdWKSgKPaAxoNFnvOjY5jg.jpg,238541
154823,Unstoppable with NBK,2,Season 2,2022-10-14,12,,https://image.tmdb.org/t/p/w500/b41F9nG79Rg1EIwpQNqKW0Z3qE4.jpg,313549
154823,Unstoppable with NBK,3,Season 3 (Limited edition),2023-10-17,3,,,375490
154823,Unstoppable with NBK,4,Season 4,2024-10-25,10,The Show NANDAMURI BALAKRISHNA interacts with other celebrities and colleagues in the Telugu Film Industry called Tollywood.,https://image.tmdb.org/t/p/w500/7YAlE6NrHFibwtQwt6sUkgYEdGe.jpg,427785
111188,Scam 1992: The Harshad Mehta Story,1,Season 1,2020-10-09,10,,https://image.tmdb.org/t/p/w500/dFTuVCjMMLCZB8mobKSwu5KC2bq.jpg,165090
233362,School Friends,1,Season 1,2023-08-23,19,,https://image.tmdb.org/t/p/w500/c0XiNTHqk46GdsW1BgGnhHgeKUO.jpg,354139
233362,School Friends,2,Season 2,2024-09-25,20,,,419434
233362,School Friends,3,Season 3,2025-02-21,18,,,443205
228718,The Trial,1,Season 1,2023-07-14,8,Noyonika Sengupta faces a trial by fire when her family gets hit by a scandal. Watch her defend them in life and in the courtroom.,https://image.tmdb.org/t/p/w500/fK0FbJheOrfiaoeL8EVPGfXoTh0.jpg,345283
228718,The Trial,2,Season 2,2025-09-19,6,,,471176
220525,Maitree,1,Season 1,2023-02-06,225,"The two best friends have been inseparable since their childhood, so much so that their mothers also question them as to what will they do when either of them gets married?",https://image.tmdb.org/t/p/w500/k57vsZ5Pl80WRR02ahgC3QLdhhL.jpg,329104
107588,Aashram,1,Season 1,2020-08-28,9,"To fill your weekend with the suspending thought that will not leave your mind and open your eyes to the harsh reality of today’s society and the blind faith some people have in the so called guru’s of the society, MX Player brings you its latest series “Aashram”. Directed by Prakash Jha, The show f",https://image.tmdb.org/t/p/w500/3CuyPlPAlxHlawh1mBxDsU6v9vx.jpg,159358
107588,Aashram,2,Season 2,2020-11-11,9,"To fill your weekend with the suspending thought that will not leave your mind and open your eyes to the harsh reality of today’s society and the blind faith some people have in the so called guru’s of the society, MX Player brings you its latest series “Aashram”. Directed by Prakash Jha, The show f",https://image.tmdb.org/t/p/w500/jS6MeGKKNJyc4WP20yDWSn9GmuA.jpg,168232
107588,Aashram,3,Season 3,2022-06-03,15,,https://image.tmdb.org/t/p/w500/2N5R7xOq6mVLYI2KpRoTDPKMsBe.jpg,293641
120395,Navarasa,1,Volume 1,2021-08-06,9,"From amusement to awe, the nine human emotions of Indian aesthetic theory are explored in this anthology series.",https://image.tmdb.org/t/p/w500/y3PXsfCxNrSQsbQtkjTO1iIlxGm.jpg,185069
